codProducto,nombre,descripcionComida,tipoComida,precioSinIVA,tipoIVA,precioConIVA,stock
CODCOM021,Tonkotsu Ramen,Delicioso ramen japonés,TipoComida.RAMEN,5.98,IVA_DIEZ,6.58,20
CODCOM022,Ramen picante,Delicioso ramen japonés,TipoComida.RAMEN,12.19,IVA_DIEZ,13.41,20
CODCOM023,Ramen de soja,Delicioso ramen japonés,TipoComida.RAMEN,7.63,IVA_DIEZ,8.39,20
CODCOM024,Ramen de miso con huevo,Delicioso ramen japonés,TipoComida.RAMEN,14.6,IVA_DIEZ,16.06,20
CODCOM025,Ramen de miso y pollo,Delicioso ramen japonés,TipoComida.RAMEN,11.25,IVA_DIEZ,12.38,20
CODCOM026,Ramen de miso,Delicioso ramen japonés,TipoComida.RAMEN,13.05,IVA_DIEZ,14.36,20
CODCOM027,Ramen de soja,Delicioso ramen japonés,TipoComida.RAMEN,5.74,IVA_DIEZ,6.31,20
CODCOM028,Ramen picante,Delicioso ramen japonés,TipoComida.RAMEN,10.9,IVA_DIEZ,11.99,20
CODCOM029,Ramen de soja,Delicioso ramen japonés,TipoComida.RAMEN,9.95,IVA_DIEZ,10.95,20
CODCOM030,Ramen picante,Delicioso ramen japonés,TipoComida.RAMEN,7.42,IVA_DIEZ,8.16,20
CODCOM031,Tonkotsu Ramen,Delicioso ramen japonés,TipoComida.RAMEN,13.22,IVA_DIEZ,14.54,20
CODCOM032,Tonkotsu Ramen,Delicioso ramen japonés,TipoComida.RAMEN,10.93,IVA_DIEZ,12.02,20
CODCOM033,Shoyu Ramen con huevo,Delicioso ramen japonés,TipoComida.RAMEN,9.02,IVA_DIEZ,9.92,20
CODCOM034,Shoyu Ramen,Delicioso ramen japonés,TipoComida.RAMEN,12.78,IVA_DIEZ,14.06,20
CODCOM035,Nigiri de salmón,Variedad de sushi fresco,TipoComida.SUSHI,13.48,IVA_DIEZ,14.83,20
CODCOM036,Maki de atún,Variedad de sushi fresco,TipoComida.SUSHI,19.16,IVA_DIEZ,21.08,20
CODCOM037,Nigiri de salmón,Variedad de sushi fresco,TipoComida.SUSHI,19.71,IVA_DIEZ,21.68,20
CODCOM038,Maki de atún,Variedad de sushi fresco,TipoComida.SUSHI,10.13,IVA_DIEZ,11.14,20
CODCOM039,Nigiri de salmón,Variedad de sushi fresco,TipoComida.SUSHI,19.26,IVA_DIEZ,21.19,20
CODCOM040,Sushi de anguila,Variedad de sushi fresco,TipoComida.SUSHI,12.92,IVA_DIEZ,14.21,20
CODCOM041,Nigiri de salmón,Variedad de sushi fresco,TipoComida.SUSHI,13.44,IVA_DIEZ,14.78,20
CODCOM042,Maki de atún,Variedad de sushi fresco,TipoComida.SUSHI,19.69,IVA_DIEZ,21.66,20
CODCOM043,Sashimi variado,Variedad de sushi fresco,TipoComida.SUSHI,15.9,IVA_DIEZ,17.49,20
CODCOM044,California rolls,Variedad de sushi fresco,TipoComida.SUSHI,15.42,IVA_DIEZ,16.96,20
CODCOM045,Sushi de anguila,Variedad de sushi fresco,TipoComida.SUSHI,17.86,IVA_DIEZ,19.65,20
CODCOM046,California rolls,Variedad de sushi fresco,TipoComida.SUSHI,13.72,IVA_DIEZ,15.09,20
CODCOM047,Nigiri de salmón,Variedad de sushi fresco,TipoComida.SUSHI,10.59,IVA_DIEZ,11.65,20
CODCOM048,Sashimi variado,Variedad de sushi fresco,TipoComida.SUSHI,14.4,IVA_DIEZ,15.84,20
CODCOM049,California rolls,Variedad de sushi fresco,TipoComida.SUSHI,11.12,IVA_DIEZ,12.23,20
CODCOM050,Nigiri de salmón,Variedad de sushi fresco,TipoComida.SUSHI,13.98,IVA_DIEZ,15.38,20
CODCOM051,Sashimi variado,Variedad de sushi fresco,TipoComida.SUSHI,15.44,IVA_DIEZ,16.98,20
CODCOM052,Sushi de anguila,Variedad de sushi fresco,TipoComida.SUSHI,15.2,IVA_DIEZ,16.72,20
CODCOM053,Sushi de anguila,Variedad de sushi fresco,TipoComida.SUSHI,18.03,IVA_DIEZ,19.83,20
CODCOM054,California rolls,Variedad de sushi fresco,TipoComida.SUSHI,16.94,IVA_DIEZ,18.63,20
CODCOM055,Sushi de anguila,Variedad de sushi fresco,TipoComida.SUSHI,15.17,IVA_DIEZ,16.69,20
CODCOM056,Sushi de anguila,Variedad de sushi fresco,TipoComida.SUSHI,12.53,IVA_DIEZ,13.78,20
CODCOM057,Maki de atún,Variedad de sushi fresco,TipoComida.SUSHI,13.37,IVA_DIEZ,14.71,20
CODCOM058,Sushi de anguila,Variedad de sushi fresco,TipoComida.SUSHI,19.48,IVA_DIEZ,21.43,20
CODCOM059,Maki de atún,Variedad de sushi fresco,TipoComida.SUSHI,10.62,IVA_DIEZ,11.68,20
CODCOM060,Maki de atún,Variedad de sushi fresco,TipoComida.SUSHI,10.48,IVA_DIEZ,11.53,20
CODCOM061,California rolls,Variedad de sushi fresco,TipoComida.SUSHI,10.04,IVA_DIEZ,11.04,20
CODCOM062,Nigiri de salmón,Variedad de sushi fresco,TipoComida.SUSHI,18.41,IVA_DIEZ,20.25,20
CODCOM063,Sushi de anguila,Variedad de sushi fresco,TipoComida.SUSHI,12.5,IVA_DIEZ,13.75,20
CODCOM064,Sushi de anguila,Variedad de sushi fresco,TipoComida.SUSHI,16.32,IVA_DIEZ,17.95,20
CODCOM065,Maki de atún,Variedad de sushi fresco,TipoComida.SUSHI,8.24,IVA_DIEZ,9.06,20
CODCOM066,Maki de atún,Variedad de sushi fresco,TipoComida.SUSHI,12.56,IVA_DIEZ,13.82,20
CODCOM067,Sushi de anguila,Variedad de sushi fresco,TipoComida.SUSHI,10.67,IVA_DIEZ,11.74,20
CODCOM068,Wok de ternera,Plato de wok al estilo asiático,TipoComida.WOK,13.68,IVA_DIEZ,15.05,20
CODCOM069,Wok de verduras,Plato de wok al estilo asiático,TipoComida.WOK,16.69,IVA_DIEZ,18.36,20
CODCOM070,Wok de ternera,Plato de wok al estilo asiático,TipoComida.WOK,9.62,IVA_DIEZ,10.58,20
CODCOM071,Wok de ternera,Plato de wok al estilo asiático,TipoComida.WOK,10.89,IVA_DIEZ,11.98,20
CODCOM072,Wok de pollo con bambú,Plato de wok al estilo asiático,TipoComida.WOK,17.55,IVA_DIEZ,19.31,20
CODCOM073,Wok de ternera,Plato de wok al estilo asiático,TipoComida.WOK,14.13,IVA_DIEZ,15.54,20
CODCOM074,Wok de pollo con bambú,Plato de wok al estilo asiático,TipoComida.WOK,16.99,IVA_DIEZ,18.69,20
CODCOM075,Wok de mariscos,Plato de wok al estilo asiático,TipoComida.WOK,11.6,IVA_DIEZ,12.76,20
CODCOM076,Wok de mariscos,Plato de wok al estilo asiático,TipoComida.WOK,14.15,IVA_DIEZ,15.57,20
CODCOM077,Wok de tofu picante,Plato de wok al estilo asiático,TipoComida.WOK,14.38,IVA_DIEZ,15.82,20
CODCOM078,Wok de verduras,Plato de wok al estilo asiático,TipoComida.WOK,16.72,IVA_DIEZ,18.39,20
CODCOM079,Wok de tofu picante,Plato de wok al estilo asiático,TipoComida.WOK,8.97,IVA_DIEZ,9.87,20
CODCOM080,Wok de ternera,Plato de wok al estilo asiático,TipoComida.WOK,12.22,IVA_DIEZ,13.44,20
CODCOM081,Wok de ternera,Plato de wok al estilo asiático,TipoComida.WOK,16.44,IVA_DIEZ,18.08,20
CODCOM082,Wok de tofu picante,Plato de wok al estilo asiático,TipoComida.WOK,13.34,IVA_DIEZ,14.67,20
CODCOM083,Wok de mariscos,Plato de wok al estilo asiático,TipoComida.WOK,15.93,IVA_DIEZ,17.52,20
CODCOM084,Wok de tofu picante,Plato de wok al estilo asiático,TipoComida.WOK,9.35,IVA_DIEZ,10.29,20
CODCOM085,Wok de pollo con bambú,Plato de wok al estilo asiático,TipoComida.WOK,10.4,IVA_DIEZ,11.44,20
CODCOM086,Wok de ternera,Plato de wok al estilo asiático,TipoComida.WOK,15.41,IVA_DIEZ,16.95,20
CODCOM087,Wok de mariscos,Plato de wok al estilo asiático,TipoComida.WOK,9.61,IVA_DIEZ,10.57,20
CODCOM088,Wok de verduras,Plato de wok al estilo asiático,TipoComida.WOK,16.98,IVA_DIEZ,18.68,20
CODCOM089,Wok de mariscos,Plato de wok al estilo asiático,TipoComida.WOK,8.13,IVA_DIEZ,8.94,20
CODCOM090,Wok de tofu picante,Plato de wok al estilo asiático,TipoComida.WOK,17.26,IVA_DIEZ,18.99,20
CODCOM091,Wok de mariscos,Plato de wok al estilo asiático,TipoComida.WOK,9.84,IVA_DIEZ,10.82,20
CODCOM092,Wok de mariscos,Plato de wok al estilo asiático,TipoComida.WOK,14.89,IVA_DIEZ,16.38,20
CODCOM093,Wok de tofu picante,Plato de wok al estilo asiático,TipoComida.WOK,12.59,IVA_DIEZ,13.85,20
CODCOM094,Wok de tofu picante,Plato de wok al estilo asiático,TipoComida.WOK,10.64,IVA_DIEZ,11.7,20
CODCOM095,Wok de verduras,Plato de wok al estilo asiático,TipoComida.WOK,14.35,IVA_DIEZ,15.79,20
CODCOM096,Wok de ternera,Plato de wok al estilo asiático,TipoComida.WOK,8.52,IVA_DIEZ,9.37,20
CODCOM097,Wok de pollo con bambú,Plato de wok al estilo asiático,TipoComida.WOK,7.95,IVA_DIEZ,8.75,20
CODCOM098,Wok de mariscos,Plato de wok al estilo asiático,TipoComida.WOK,14.03,IVA_DIEZ,15.43,20
CODCOM099,Wok de verduras,Plato de wok al estilo asiático,TipoComida.WOK,13.04,IVA_DIEZ,14.34,20
CODCOM100,Wok de pato crujiente con verduras mixtas,Plato de wok al estilo asiático ampliado,TipoComida.WOK,9.77,IVA_DIEZ,10.75,20
